Title,Link,RankOverall,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,NumAwardsHonors,PlayerCountRecomm_min,PlayerCountRecomm_max,PlayerCountBest_min,PlayerCountBest_max,PlayerCount_votes,MinPlayTime,MaxPlayTime,GameCategory_1,RankCategory_1,ScoreCategory_1,Mechanics,AmazonPrice,GameCategory_2,RankCategory_2,ScoreCategory_2,GameCategory_3,RankCategory_3,ScoreCategory_3
Santorini ,https://boardgamegeek.com/boardgame/194655/santorini,251,2016,37442,7.37552,7.23819,1.32765,1.7266,717,237029,8,2,3,2,2.0,534,20,20,Abstract ,13,7.21721,"Grid Movement
Map Reduction
Race
Square Grid
Team-Based Game
Three Dimensional Movement
",Unknown,,,,,,
KLASK ,https://boardgamegeek.com/boardgame/165722/klask,252,2014,9463,7.62946,7.23873,1.32523,1.0632,174,99614,8,2,2,2,2.0,74,10,10,Party ,6,7.38428,"Real-Time
Score-and-Reset Game
",$59.99,Family ,40,7.3297,,,
Isle of Skye: From Chieftain to King ,https://boardgamegeek.com/boardgame/176494/isle-skye-chieftain-king,253,2015,24786,7.39911,7.23691,1.15276,2.2542,712,86364,18,2,5,3,4.0,411,30,50,Strategy ,201,7.25659,"Catch the Leader
Commodity Speculation
I Cut, You Choose
Set Collection
Tile Placement
Turn Order: Progressive
",$44.99,Family ,53,7.27208,,,
Chronicles of Crime ,https://boardgamegeek.com/boardgame/239188/chronicles-crime,254,2018,21615,7.60834,7.23506,1.42629,2.0583,343,48312,17,1,3,2,2.0,340,60,90,Thematic,67,7.2833,"Cooperative Game
Scenario / Mission / Campaign Game
Solo / Solitaire Game
Storytelling
",$20.00,,,,,,
Glory to Rome ,https://boardgamegeek.com/boardgame/19857/glory-rome,255,2005,14083,7.48862,7.23321,1.40429,2.9282,919,61795,7,2,5,3,4.0,281,60,60,Strategy ,183,7.28719,"End Game Bonuses
Follow
Hand Management
Multi-Use Cards
Set Collection
Sudden Death Ending
",Unknown,,,,,,
Pulsar 2849 ,https://boardgamegeek.com/boardgame/228341/pulsar-2849,256,2017,8503,7.67053,7.23199,1.19136,3.3477,279,20437,8,2,4,4,4.0,194,60,90,Strategy ,164,7.33029,"Dice Rolling
Open Drafting
Point to Point Movement
Worker Placement with Dice Workers
",$54.00,,,,,,
1830: Railways & Robber Barons ,https://boardgamegeek.com/boardgame/421/1830-railways-robber-barons,257,1986,5509,7.86548,7.2309,1.60396,4.16,575,15085,0,3,6,4,5.0,133,180,360,Strategy ,145,7.37687,"Auction/Bidding
Hexagon Grid
Investment
Market
Network and Route Building
Ownership
",$76.99,,,,,,
Hero Realms ,https://boardgamegeek.com/boardgame/198994/hero-realms,258,2016,17279,7.52679,7.22991,1.22945,1.8566,286,109405,6,2,4,2,2.0,204,20,20,Strategy ,210,7.22596,"Deck, Bag, and Pool Building
Hand Management
Once-Per-Game Abilities
Take That
",$23.95,,,,,,
Hallertau ,https://boardgamegeek.com/boardgame/300322/hallertau,259,2020,5247,7.91779,7.23052,1.17711,3.2967,246,20538,6,1,4,2,2.0,156,50,140,Strategy ,146,7.37561,"Advantage Token
Automatic Resource Growth
Contracts
End Game Bonuses
Hand Management
Income
",$87.32,,,,,,
Shogun ,https://boardgamegeek.com/boardgame/20551/shogun,260,2006,13854,7.51925,7.227,1.33978,3.3637,1240,18815,10,3,5,4,5.0,261,90,120,Strategy ,190,7.27846,"Action Queue
Area Majority / Influence
Area Movement
Auction/Bidding
Cube Tower
Simultaneous Action Selection
",Unknown,,,,,,
Clash of Cultures: Monumental Edition ,https://boardgamegeek.com/boardgame/299659/clash-cultures-monumental-edition,261,2021,3288,8.39134,7.23187,1.32295,3.65,160,7720,0,2,4,3,4.0,99,180,240,Strategy ,129,7.43473,"Action Points
Dice Rolling
Grid Movement
Hand Management
Modular Board
Trading
",$99.95,,,,,,
Samurai ,https://boardgamegeek.com/boardgame/3/samurai,262,1998,16098,7.462,7.22606,1.19563,2.4748,1487,48666,5,2,4,3,3.0,343,30,60,Strategy ,196,7.26952,"Area Majority / Influence
Hand Management
Hexagon Grid
Once-Per-Game Abilities
Set Collection
Tile Placement
",Unknown,,,,,,
Camel Up (Second Edition) ,https://boardgamegeek.com/boardgame/260605/camel-second-edition,263,2018,11101,7.58452,7.2254,1.16843,1.4622,225,37481,3,3,8,5,6.0,143,30,45,Party ,9,7.36272,"Betting and Bluffing
Dice Rolling
Roll / Spin and Move
Track Movement
",Unknown,Family ,48,7.30186,,,
Galaxy Trucker ,https://boardgamegeek.com/boardgame/31481/galaxy-trucker,264,2007,33596,7.35281,7.22343,1.45422,2.3303,1556,90496,11,2,4,4,4.0,451,60,60,Thematic,78,7.22836,"Dice Rolling
Events
Real-Time
Relative Movement
Team-Based Game
Tile Placement
",Unknown,,,,,,
1960: The Making of the President ,https://boardgamegeek.com/boardgame/27708/1960-making-president,265,2007,9224,7.62156,7.22034,1.3338,3.2032,999,16701,5,2,2,2,2.0,243,90,120,Strategy ,178,7.29937,"Action/Event
Area Majority / Influence
Campaign / Battle Card Driven
Hand Management
Simulation
",$89.00,,,,,,
Viticulture ,https://boardgamegeek.com/boardgame/128621/viticulture,266,2013,13293,7.50905,7.21918,1.4373,2.9308,448,36585,2,2,5,3,4.0,147,90,90,Strategy ,193,7.27356,"Contracts
Hand Management
Income
Turn Order: Progressive
Worker Placement
",$48.63,,,,,,
Vindication ,https://boardgamegeek.com/boardgame/224783/vindication,267,2018,6814,7.80194,7.22106,1.41065,3.0841,226,18454,4,2,5,4,4.0,126,45,150,Strategy ,167,7.32356,"Area Majority / Influence
Dice Rolling
End Game Bonuses
Hexagon Grid
Map Addition
Modular Board
",$169.99,,,,,,
Endless Winter: Paleoamericans ,https://boardgamegeek.com/boardgame/305096/endless-winter-paleoamericans,268,2022,6885,7.79601,7.2166,1.34766,3.2797,354,18491,2,1,4,3,3.0,204,60,120,Strategy ,168,7.32352,"Area Majority / Influence
Deck, Bag, and Pool Building
End Game Bonuses
Hand Management
Income
Modular Board
",$369.99,,,,,,
Steam ,https://boardgamegeek.com/boardgame/27833/steam,269,2009,10123,7.56147,7.21538,1.35752,3.4568,694,20537,6,3,5,4,4.0,127,90,90,Strategy ,177,7.29987,"Auction/Bidding
Loans
Network and Route Building
Ownership
Pick-up and Deliver
Tile Placement
",$29.99,,,,,,
7 Wonders (Second Edition) ,https://boardgamegeek.com/boardgame/316377/7-wonders-second-edition,270,2020,6299,7.87077,7.21774,1.26644,2.3,220,28060,0,3,7,4,5.0,125,30,30,Strategy ,195,7.27228,"Closed Drafting
Hand Management
Neighbor Scope
Set Collection
Simultaneous Action Selection
Variable Player Powers
",$39.99,Family ,39,7.33667,,,
T.I.M.E Stories ,https://boardgamegeek.com/boardgame/146508/time-stories,271,2015,27181,7.40429,7.2149,1.72862,2.5941,579,63493,21,2,4,4,4.0,368,90,90,Thematic,73,7.24972,"Cooperative Game
Dice Rolling
Move Through Deck
Narrative Choice / Paragraph
Storytelling
Variable Player Powers
",$37.99,,,,,,
Western Legends ,https://boardgamegeek.com/boardgame/232405/western-legends,272,2018,10538,7.61095,7.21505,1.40658,2.8289,263,21343,5,3,5,4,4.0,225,60,90,Thematic,59,7.32326,"Action Points
Area Movement
Betting and Bluffing
Card Play Conflict Resolution
Dice Rolling
End Game Bonuses
",Unknown,,,,,,
Tapestry ,https://boardgamegeek.com/boardgame/286096/tapestry,273,2019,19209,7.44644,7.21449,1.61848,2.9245,715,96516,8,1,4,3,3.0,391,90,120,Strategy ,205,7.23653,"Area Majority / Influence
Contracts
Dice Rolling
Events
Grid Coverage
Hand Management
",$70.97,,,,,,
Blood on the Clocktower ,https://boardgamegeek.com/boardgame/240980/blood-clocktower,274,2022,4106,8.33047,7.21852,1.99313,2.9682,157,35296,5,6,16,8,12.0,130,30,120,Party ,2,7.59739,"Betting and Bluffing
Deduction
Hidden Roles
Negotiation
Prisoner's Dilemma
Rock-Paper-Scissors
",Unknown,,,,,,
Lewis & Clark: The Expedition ,https://boardgamegeek.com/boardgame/140620/lewis-clark-expedition,275,2013,15277,7.45202,7.20841,1.29463,3.3333,744,39515,13,1,4,3,3.0,350,120,120,Strategy ,200,7.25919,"Action Retrieval
Deck, Bag, and Pool Building
Delayed Purchase
Hand Management
Open Drafting
Race
",$40.62,,,,,,
Great Western Trail: Argentina ,https://boardgamegeek.com/boardgame/364011/great-western-trail-argentina,276,2022,2791,8.47097,7.21125,1.17878,3.886,114,8807,0,1,4,3,3.0,70,75,150,Strategy ,124,7.44978,"Deck, Bag, and Pool Building
Hand Management
Ownership
Set Collection
Solo / Solitaire Game
Track Movement
",$55.99,,,,,,
Bora Bora ,https://boardgamegeek.com/boardgame/127060/bora-bora,277,2013,10098,7.55684,7.20276,1.34193,3.732,638,25286,4,2,4,4,4.0,227,60,120,Strategy ,184,7.28507,"Dice Rolling
Set Collection
Worker Placement
Worker Placement with Dice Workers
",Unknown,,,,,,
Kingdomino ,https://boardgamegeek.com/boardgame/204583/kingdomino,278,2016,45415,7.31498,7.19738,1.12492,1.2201,1013,353818,25,2,4,2,2.0,657,15,25,Family ,59,7.21198,"Open Drafting
Tile Placement
Turn Order: Stat-Based
",$18.06,,,,,,
Arcadia Quest ,https://boardgamegeek.com/boardgame/155068/arcadia-quest,279,2014,10307,7.61784,7.19372,1.50644,2.5331,347,27390,1,2,4,4,4.0,183,60,60,Thematic,61,7.29627,"Action Retrieval
Dice Rolling
Grid Movement
Line of Sight
Modular Board
Scenario / Mission / Campaign Game
",$96.99,,,,,,
Battle Line ,https://boardgamegeek.com/boardgame/760/battle-line,280,2000,17214,7.41341,7.19148,1.26417,1.8942,1210,97489,0,2,2,2,2.0,187,30,30,Strategy ,217,7.21987,"Card Play Conflict Resolution
Hand Management
Melding and Splaying
",$21.95,,,,,,
Rococo ,https://boardgamegeek.com/boardgame/144344/rococo,281,2013,8831,7.58281,7.18966,1.16231,3.0805,435,20062,5,2,5,3,3.0,166,60,120,Strategy ,188,7.28163,"Action Retrieval
Area Majority / Influence
Deck, Bag, and Pool Building
Delayed Purchase
Hand Management
Open Drafting
",Unknown,,,,,,
Forgotten Waters ,https://boardgamegeek.com/boardgame/302723/forgotten-waters,282,2020,5612,7.84814,7.18756,1.39546,2.1091,110,12069,9,2,7,5,5.0,138,120,240,Thematic,45,7.42887,"Dice Rolling
Events
Narrative Choice / Paragraph
Scenario / Mission / Campaign Game
Semi-Cooperative Game
Stat Check Resolution
",$45.49,,,,,,
Dixit: Odyssey ,https://boardgamegeek.com/boardgame/92828/dixit-odyssey,283,2011,20497,7.40582,7.18695,1.34648,1.1696,619,41000,7,4,12,6,6.0,209,30,30,Party ,14,7.25665,"Storytelling
Targeted Clues
Voting
",$20.99,,,,,,
Anno 1800: The Board Game ,https://boardgamegeek.com/boardgame/311193/anno-1800-board-game,284,2020,6391,7.74715,7.18788,1.16643,3.1535,228,20111,4,2,4,3,3.0,139,120,120,Strategy ,174,7.3031,"End Game Bonuses
Hand Management
Race
Tech Trees / Tech Tracks
Variable Set-up
",$46.90,,,,,,
Seasons ,https://boardgamegeek.com/boardgame/108745/seasons,285,2012,24459,7.35657,7.18296,1.37719,2.7804,970,93800,10,2,3,2,2.0,526,60,60,Strategy ,226,7.19541,"Closed Drafting
Dice Rolling
Hand Management
Open Drafting
Take That
Victory Points as a Resource
",$57.51,,,,,,
Ethnos ,https://boardgamegeek.com/boardgame/206718/ethnos,286,2017,13067,7.4641,7.18168,1.21429,2.0383,261,42752,4,2,6,4,4.0,212,45,60,Strategy ,204,7.23726,"Area Majority / Influence
Hand Management
Open Drafting
Push Your Luck
Set Collection
",Unknown,,,,,,
Cryptid ,https://boardgamegeek.com/boardgame/246784/cryptid,287,2018,13508,7.45992,7.18205,1.27783,2.2377,265,65871,8,3,5,4,4.0,201,30,50,Strategy ,214,7.2224,"Deduction
Hexagon Grid
Modular Board
Pattern Recognition
",$28.04,Family ,56,7.24373,,,
Hive ,https://boardgamegeek.com/boardgame/2655/hive,288,2000,36032,7.31982,7.18047,1.32948,2.3178,1797,195326,7,2,2,2,2.0,313,20,20,Abstract ,17,7.1445,"Enclosure
Grid Movement
Hexagon Grid
Pattern Movement
Pieces as Map
Score-and-Reset Game
",$41.33,,,,,,
Imperial ,https://boardgamegeek.com/boardgame/24181/imperial,289,2006,8715,7.59928,7.17768,1.51041,3.5645,976,16808,8,3,6,4,4.0,290,120,180,Strategy ,191,7.27685,"Advantage Token
Area Majority / Influence
Area Movement
Investment
Ownership
Rondel
",Unknown,,,,,,
The Manhattan Project: Energy Empire ,https://boardgamegeek.com/boardgame/176734/manhattan-project-energy-empire,290,2016,5997,7.75122,7.17632,1.16102,3.0424,165,17918,3,1,5,4,4.0,114,60,120,Strategy ,176,7.29997,"Dice Rolling
Die Icon Resolution
End Game Bonuses
Events
Variable Player Powers
Worker Placement
",$119.90,,,,,,
Indonesia ,https://boardgamegeek.com/boardgame/19777/indonesia,291,2005,4570,7.88413,7.17062,1.52227,3.9864,441,10837,1,3,5,4,4.0,142,180,240,Strategy ,163,7.34166,"Auction/Bidding
Pick-up and Deliver
Tech Trees / Tech Tracks
",Unknown,,,,,,
Marvel United ,https://boardgamegeek.com/boardgame/298047/marvel-united,292,2020,9384,7.60233,7.16907,1.36801,1.8205,234,67514,6,1,4,3,3.0,162,40,40,Family ,57,7.24094,"Cooperative Game
Hand Management
Modular Board
Solo / Solitaire Game
Variable Player Powers
",$19.23,,,,,,
Navegador ,https://boardgamegeek.com/boardgame/66589/navegador,293,2010,9095,7.53799,7.16646,1.18014,3.0835,575,20648,7,2,5,4,4.0,204,60,90,Strategy ,202,7.25647,"Advantage Token
Area Movement
Market
Rondel
",$129.99,,,,,,
Star Realms: Frontiers ,https://boardgamegeek.com/boardgame/230253/star-realms-frontiers,294,2018,4804,7.94739,7.1675,1.18078,1.8611,108,27920,1,1,4,2,2.0,85,20,45,Strategy ,197,7.26661,"Cooperative Game
Deck, Bag, and Pool Building
Open Drafting
Player Elimination
Solo / Solitaire Game
Take That
",$39.95,,,,,,
Monikers ,https://boardgamegeek.com/boardgame/156546/monikers,295,2015,5706,7.78078,7.16798,1.46365,1.0833,72,18725,1,4,12,6,6.0,41,30,60,Party ,5,7.46507,"Acting
Communication Limits
Open Drafting
Role Playing
Singing
Team-Based Game
",$24.99,,,,,,
Power Grid Deluxe: Europe/North America ,https://boardgamegeek.com/boardgame/155873/power-grid-deluxe-europenorth-america,296,2014,4354,7.954,7.16662,1.276,3.1942,139,6790,0,2,6,4,5.0,53,120,120,Strategy ,166,7.32442,"Auction: Turn Order Until Pass
Catch the Leader
Income
Market
Network and Route Building
Turn Order: Stat-Based
",$149.99,,,,,,
Cthulhu Wars ,https://boardgamegeek.com/boardgame/139976/cthulhu-wars,297,2015,5869,7.86244,7.16504,1.62315,3.1516,277,16155,5,3,4,4,4.0,151,90,120,Thematic,50,7.3878,"Action Points
Area Majority / Influence
Area Movement
Dice Rolling
Variable Player Powers
",$170.79,Strategy ,199,7.2606,,,
Dungeon Petz ,https://boardgamegeek.com/boardgame/97207/dungeon-petz,298,2011,14626,7.4097,7.16412,1.37489,3.6245,711,27692,6,2,4,4,4.0,222,90,90,Thematic,77,7.23123,"Auction/Bidding
Hand Management
Selection Order Bid
Simultaneous Action Selection
Worker Placement
",$40.28,Strategy ,222,7.20693,,,
Dice Throne: Season Two – Battle Chest ,https://boardgamegeek.com/boardgame/244271/dice-throne-season-two-battle-chest,299,2018,4250,8.08597,7.16583,1.35833,2.1389,72,15034,0,2,4,2,2.0,47,20,40,Family ,45,7.3116,"Dice Rolling
Take That
Team-Based Game
Variable Player Powers
",$209.32,,,,,,
Age of Empires III: The Age of Discovery ,https://boardgamegeek.com/boardgame/22545/age-empires-iii-age-discovery,300,2007,10214,7.51438,7.15889,1.36632,3.1258,1057,21988,10,3,5,4,5.0,329,90,120,Strategy ,207,7.23428,"Area Majority / Influence
Set Collection
Turn Order: Claim Action
Worker Placement
Worker Placement, Different Worker Types
",$219.95,,,,,,
Telestrations ,https://boardgamegeek.com/boardgame/46213/telestrations,301,2009,17297,7.38465,7.15753,1.38358,1.0683,439,67194,16,5,8,8,8.0,209,30,30,Party ,15,7.2396,"Drawing
Paper-and-Pencil
",$31.99,,,,,,
Space Alert ,https://boardgamegeek.com/boardgame/38453/space-alert,302,2008,15912,7.39776,7.15593,1.57427,2.9692,811,64032,10,3,5,4,5.0,348,30,30,Thematic,86,7.20445,"Action Queue
Area Movement
Cooperative Game
Elapsed Real Time Ending
Hand Management
Real-Time
",$66.12,,,,,,
Onitama ,https://boardgamegeek.com/boardgame/160477/onitama,303,2014,21274,7.35541,7.15576,1.24017,1.6589,343,103314,6,2,2,2,2.0,132,15,20,Abstract ,18,7.12942,"Grid Movement
Hand Management
Pattern Movement
Square Grid
Static Capture
",$29.99,,,,,,
Nemo's War (Second Edition) ,https://boardgamegeek.com/boardgame/187617/nemos-war-second-edition,304,2017,5087,7.85538,7.15393,1.34767,3.2647,238,13132,3,1,1,1,1.0,158,60,120,Thematic,48,7.40593,"Action Points
Area Majority / Influence
Area Movement
Cooperative Game
Dice Rolling
Push Your Luck
",$68.99,,,,,,
Return to Dark Tower ,https://boardgamegeek.com/boardgame/256680/return-dark-tower,305,2022,3527,8.29572,7.16296,1.471,2.6452,93,11484,7,1,4,4,4.0,73,100,120,Thematic,37,7.49813,"Area Movement
Cooperative Game
Events
Push Your Luck
Random Production
Scenario / Mission / Campaign Game
",$289.99,,,,,,
Oath: Chronicles of Empire & Exile ,https://boardgamegeek.com/boardgame/291572/oath-chronicles-empire-exile,306,2021,6337,7.82101,7.1519,1.79603,4.1042,528,14106,11,3,5,4,4.0,217,45,150,Thematic,83,7.21812,"Action Points
Area Majority / Influence
Area Movement
Dice Rolling
Hand Management
Negotiation
",$89.13,Strategy ,208,7.23303,,,
Bitoku ,https://boardgamegeek.com/boardgame/323612/bitoku,307,2021,5155,7.863,7.15119,1.33131,3.7148,305,14296,9,1,4,3,3.0,154,120,120,Strategy ,189,7.2799,"Deck, Bag, and Pool Building
End Game Bonuses
Hand Management
Income
Set Collection
Solo / Solitaire Game
",$57.41,,,,,,
Fury of Dracula (Third/Fourth Edition) ,https://boardgamegeek.com/boardgame/181279/fury-dracula-thirdfourth-edition,308,2015,14245,7.43668,7.14857,1.4406,3.2829,350,17728,1,2,5,3,3.0,251,120,180,Thematic,81,7.22056,"Card Play Conflict Resolution
Hand Management
Hidden Movement
Point to Point Movement
Resource to Move
Rock-Paper-Scissors
",Unknown,,,,,,
Imperial Settlers ,https://boardgamegeek.com/boardgame/154203/imperial-settlers,309,2014,24017,7.3269,7.14979,1.30608,2.7684,898,85646,16,1,4,2,2.0,496,45,90,Strategy ,240,7.16398,"Closed Drafting
Contracts
End Game Bonuses
Hand Management
Income
Open Drafting
",$34.95,,,,,,
Glass Road ,https://boardgamegeek.com/boardgame/143693/glass-road,310,2013,11252,7.45006,7.1474,1.2101,2.9498,558,41948,4,1,4,2,2.0,276,20,80,Strategy ,215,7.22144,"Automatic Resource Growth
End Game Bonuses
Follow
Once-Per-Game Abilities
Open Drafting
Set Collection
",$111.00,,,,,,
Summoner Wars: Master Set ,https://boardgamegeek.com/boardgame/93260/summoner-wars-master-set,311,2011,10955,7.48458,7.14204,1.48256,2.5223,404,31764,3,2,2,2,2.0,112,30,60,Customizable,18,7.26571,"Deck Construction
Dice Rolling
Grid Movement
Hand Management
Stat Check Resolution
Variable Player Powers
",$219.95,Strategy ,232,7.1783,,,
Kemet: Blood and Sand ,https://boardgamegeek.com/boardgame/297562/kemet-blood-and-sand,312,2021,4093,8.01037,7.14418,1.3117,3.2328,116,6476,0,2,5,4,4.0,82,90,120,Strategy ,182,7.29195,"Action Points
Area Majority / Influence
Area Movement
Card Play Conflict Resolution
Hand Management
Open Drafting
",$89.99,,,,,,
Imperial 2030 ,https://boardgamegeek.com/boardgame/54138/imperial-2030,313,2009,6686,7.6518,7.13989,1.47837,3.5064,391,10690,2,3,6,4,4.0,179,120,180,Strategy ,203,7.25468,"Area Majority / Influence
Area Movement
Investment
Ownership
Rondel
Stock Holding
",$67.75,,,,,,
Aeon's End: The New Age ,https://boardgamegeek.com/boardgame/270633/aeons-end-new-age,314,2019,2506,8.54771,7.13917,1.2102,2.95,60,13262,0,1,4,2,2.0,60,60,60,Strategy ,155,7.35129,"Cooperative Game
Deck, Bag, and Pool Building
Hand Management
Open Drafting
Variable Phase Order
Variable Player Powers
",$48.90,,,,,,
The King's Dilemma ,https://boardgamegeek.com/boardgame/245655/kings-dilemma,315,2019,5420,7.79669,7.13907,1.63861,2.2639,144,37634,7,4,5,5,5.0,134,45,60,Thematic,55,7.3471,"Bias
Bribery
End Game Bonuses
Legacy Game
Storytelling
Voting
",$34.99,,,,,,
Arkham Horror (Third Edition) ,https://boardgamegeek.com/boardgame/257499/arkham-horror-third-edition,316,2018,8729,7.69539,7.13539,1.5393,3.3483,290,23710,2,1,4,3,3.0,222,120,180,Thematic,71,7.26752,"Cooperative Game
Dice Rolling
Modular Board
Point to Point Movement
Stat Check Resolution
Variable Player Powers
",$43.49,,,,,,
Runewars ,https://boardgamegeek.com/boardgame/59294/runewars,317,2010,8306,7.61368,7.13559,1.51971,3.791,646,11516,5,2,4,4,4.0,242,180,240,Thematic,68,7.28209,"Area Majority / Influence
Auction/Bidding
Grid Movement
Hexagon Grid
Modular Board
Simultaneous Action Selection
",Unknown,Strategy ,223,7.20253,,,
Alien Frontiers ,https://boardgamegeek.com/boardgame/48726/alien-frontiers,318,2010,15103,7.36562,7.13388,1.31668,2.5667,854,41795,5,2,4,3,4.0,314,90,90,Strategy ,233,7.175,"Area Majority / Influence
Dice Rolling
Open Drafting
Worker Placement with Dice Workers
",$85.98,,,,,,
Heaven & Ale ,https://boardgamegeek.com/boardgame/227789/heaven-ale,319,2017,8337,7.54604,7.1332,1.17317,3.1993,281,26985,11,2,4,4,4.0,174,60,90,Strategy ,211,7.2254,"Grid Coverage
Highest-Lowest Scoring
Once-Per-Game Abilities
Rondel
Tile Placement
Track Movement
",$114.27,,,,,,
Century: Spice Road ,https://boardgamegeek.com/boardgame/209685/century-spice-road,320,2017,24533,7.31294,7.13317,1.22695,1.7973,597,110907,14,2,5,3,4.0,295,30,45,Family ,66,7.16257,"Action Retrieval
Auction: Dutch
Contracts
Deck, Bag, and Pool Building
Hand Management
Increase Value of Unchosen Resources
",$36.31,,,,,,
Tikal ,https://boardgamegeek.com/boardgame/54/tikal,321,1999,19827,7.32878,7.13268,1.19227,2.7824,1558,37258,6,2,4,4,4.0,324,90,90,Strategy ,246,7.15906,"Action Points
Area Majority / Influence
Auction/Bidding
Grid Movement
Hexagon Grid
Layering
",$59.97,,,,,,
Survive: Escape from Atlantis! ,https://boardgamegeek.com/boardgame/2653/survive-escape-atlantis,322,1982,25276,7.31495,7.13185,1.19952,1.6948,1032,73307,2,2,4,4,4.0,407,45,60,Family ,70,7.15474,"Action Points
Dice Rolling
Grid Movement
Hexagon Grid
Map Reduction
Memory
",$39.99,,,,,,
Mind MGMT: The Psychic Espionage “Game.” ,https://boardgamegeek.com/boardgame/284653/mind-mgmt-psychic-espionage-game,323,2021,4147,7.99504,7.13557,1.27883,2.901,101,15748,4,1,5,2,3.0,147,45,75,Strategy ,186,7.28307,"Deduction
Grid Movement
Hidden Movement
Paper-and-Pencil
Point to Point Movement
Team-Based Game
",$58.99,,,,,,
Bruges ,https://boardgamegeek.com/boardgame/136888/bruges,324,2013,11517,7.4246,7.12975,1.27484,2.7491,550,42081,14,2,4,3,3.0,176,60,60,Strategy ,225,7.19793,"Dice Rolling
Hand Management
",Unknown,,,,,,
Love Letter ,https://boardgamegeek.com/boardgame/129622/love-letter,325,2012,65904,7.22447,7.12833,1.3475,1.1865,2805,358244,26,3,4,4,4.0,1084,20,20,Family ,85,7.11891,"Deduction
Hand Management
Player Elimination
Score-and-Reset Game
Take That
",$19.78,,,,,,
Tiny Epic Galaxies ,https://boardgamegeek.com/boardgame/163967/tiny-epic-galaxies,326,2015,19966,7.3409,7.1275,1.20429,2.1513,509,66317,3,1,4,3,3.0,295,30,45,Strategy ,268,7.1257,"Contracts
Dice Rolling
End Game Bonuses
Follow
Open Drafting
Re-rolling and Locking
",$23.42,,,,,,
For Sale ,https://boardgamegeek.com/boardgame/172/sale,327,1997,29792,7.24898,7.12717,1.15636,1.2528,1693,187632,2,3,6,5,5.0,419,30,30,Family ,69,7.15817,"Auction: Sealed Bid
Auction: Turn Order Until Pass
Auction/Bidding
Hand Management
Selection Order Bid
",$26.43,,,,,,
Exit: The Game – The Abandoned Cabin ,https://boardgamegeek.com/boardgame/203420/exit-game-abandoned-cabin,328,2016,11135,7.43485,7.12599,1.33071,2.5536,168,9985,4,1,4,2,2.0,167,60,120,Thematic,74,7.24632,"Cooperative Game
",$14.99,,,,,,
Antiquity ,https://boardgamegeek.com/boardgame/13122/antiquity,329,2004,4386,7.85716,7.12589,1.52726,4.3202,406,9004,1,2,4,2,3.0,104,120,180,Strategy ,179,7.29753,"Grid Coverage
Hexagon Grid
Modular Board
Square Grid
Tile Placement
Trading
",Unknown,,,,,,
Lost Cities ,https://boardgamegeek.com/boardgame/50/lost-cities,330,1999,44972,7.22746,7.12596,1.26759,1.4813,3096,337071,8,2,2,2,2.0,420,30,30,Family ,76,7.14354,"Hand Management
Melding and Splaying
Ordering
Push Your Luck
Score-and-Reset Game
Set Collection
",$20.33,,,,,,
Acquire ,https://boardgamegeek.com/boardgame/5/acquire,331,1963,19982,7.33678,7.12391,1.33691,2.4991,1651,42534,2,3,6,4,4.0,353,90,90,Strategy ,259,7.13832,"Hand Management
Investment
Market
Square Grid
Stock Holding
Tile Placement
",$44.91,,,,,,
Bunny Kingdom ,https://boardgamegeek.com/boardgame/184921/bunny-kingdom,332,2017,12030,7.43514,7.12397,1.23837,2.3042,240,49002,4,2,4,4,4.0,197,40,60,Strategy ,236,7.16718,"Area Majority / Influence
Closed Drafting
End Game Bonuses
Grid Coverage
Square Grid
",$49.99,Family ,60,7.19388,,,
Burgle Bros. ,https://boardgamegeek.com/boardgame/172081/burgle-bros,333,2015,11074,7.44831,7.12177,1.19504,2.3103,290,41679,5,1,4,3,3.0,199,45,90,Thematic,90,7.18711,"Action Points
Cooperative Game
Dice Rolling
Grid Movement
Map Addition
Modular Board
",Unknown,Family ,62,7.18677,,,
Destinies ,https://boardgamegeek.com/boardgame/285192/destinies,334,2021,7562,7.76432,7.12232,1.52216,1.9057,212,18202,10,1,3,2,2.0,171,90,150,Thematic,69,7.27867,"Dice Rolling
Map Addition
Role Playing
Solo / Solitaire Game
Storytelling
Tile Placement
",$33.99,,,,,,
The Great Zimbabwe ,https://boardgamegeek.com/boardgame/111341/great-zimbabwe,335,2012,4589,7.82873,7.12075,1.49464,3.6853,251,16667,0,2,5,4,4.0,126,90,150,Strategy ,185,7.28408,"Auction/Bidding
Mancala
Modular Board
Network and Route Building
Open Drafting
Tile Placement
",$135.75,,,,,,
Awkward Guests: The Walton Case ,https://boardgamegeek.com/boardgame/188866/awkward-guests-walton-case,336,2016,7657,7.59314,7.12034,1.30157,2.3193,166,25836,1,2,6,4,4.0,195,45,75,Family ,58,7.22061,"Deduction
Hand Management
Trading
",$41.99,,,,,,
Dead of Winter: The Long Night ,https://boardgamegeek.com/boardgame/193037/dead-winter-long-night,337,2016,9701,7.54108,7.11738,1.39114,3.3511,188,10766,3,3,5,4,4.0,114,60,120,Thematic,79,7.22728,"Action Points
Area Movement
Cooperative Game
Dice Rolling
Hand Management
Push Your Luck
",$64.95,,,,,,
