Title,Link,Rank,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,NumAwards,PCountRecomm_min,PCountRecomm_max,PCountBest_min,PCountBest_max,PCount_votes,MinPlayTime,MaxPlayTime,Category_1,RankCategory_1,ScoreCategory_1,Category_2,RankCategory_2,ScoreCategory_2,Mechanics,AmazonPrice
Star Realms: Colony Wars ,https://boardgamegeek.com/boardgame/182631/star-realms-colony-wars,212,2015,7895,7.80792,7.29839,1.20756,1.8978,137,27842,1,2,2,2,2,49,20,20,Strategy ,150,7.36746,,,,"Deck, Bag, and Pool Building
Delayed Purchase
Hand Management
Open Drafting
Take That
",$17.95 
Carcassonne ,https://boardgamegeek.com/boardgame/822/carcassonne,213,2000,122551,7.40964,7.29744,1.30917,1.8965,8126,592774,13,2,5,2,2,2451,30,45,Family ,49,7.28912,,,,"Area Majority / Influence
Map Addition
Pattern Recognition
Tile Placement
",$22.67 
Coimbra ,https://boardgamegeek.com/boardgame/245638/coimbra,214,2018,11514,7.6297,7.29637,1.16081,3.2478,456,30449,11,2,4,3,3,204,60,90,Strategy ,149,7.37058,,,,"Action Drafting
Auction/Bidding
Dice Rolling
End Game Bonuses
Income
Open Drafting
",$47.65 
Dinosaur Island ,https://boardgamegeek.com/boardgame/221194/dinosaur-island,215,2017,15624,7.58709,7.29528,1.34051,3.0401,449,39522,8,1,4,3,3,175,90,120,Strategy ,167,7.32393,,,,"Action Points
Dice Rolling
Income
Set Collection
Tile Placement
Worker Placement
",$54.99 
Combat Commander: Europe ,https://boardgamegeek.com/boardgame/21050/combat-commander-europe,216,2006,5868,7.94947,7.29508,1.6425,3.2503,719,29812,8,2,2,2,2,156,60,180,War ,10,7.76955,,,,"Advantage Token
Campaign / Battle Card Driven
Grid Movement
Hexagon Grid
Line of Sight
Simulation
",Unknown
Near and Far ,https://boardgamegeek.com/boardgame/195421/near-and-far,217,2017,10045,7.69397,7.29472,1.33033,2.8872,195,32383,6,2,4,3,3,128,90,120,Thematic,47,7.40827,,,,"Dice Rolling
Narrative Choice / Paragraph
Network and Route Building
Open Drafting
Scenario / Mission / Campaign Game
Set Collection
",$59.23 
Ankh: Gods of Egypt ,https://boardgamegeek.com/boardgame/285967/ankh-gods-egypt,218,2021,8174,7.83312,7.29378,1.56213,3.0893,336,16433,4,2,5,2,2,300,90,90,Strategy ,144,7.37789,,,,"Action Retrieval
Alliances
Area Majority / Influence
Auction: Sealed Bid
Card Play Conflict Resolution
Grid Movement
",$65.30 
Under Falling Skies ,https://boardgamegeek.com/boardgame/306735/under-falling-skies,219,2020,10125,7.69562,7.29367,1.15409,2.3891,239,51223,10,1,1,1,1,187,20,40,Strategy ,160,7.34471,,,,"Dice Rolling
Modular Board
Once-Per-Game Abilities
Re-rolling and Locking
Scenario / Mission / Campaign Game
Solo / Solitaire Game
",$28.95 
Nations ,https://boardgamegeek.com/boardgame/126042/nations,220,2013,12143,7.60636,7.29289,1.40673,3.5461,716,33085,12,1,5,3,4,279,40,200,Strategy ,151,7.36556,,,,"Events
Open Drafting
Turn Order: Pass Order
Variable Player Powers
",$117.95 
Planet Unknown ,https://boardgamegeek.com/boardgame/258779/planet-unknown,221,2022,5861,7.94068,7.29155,1.12717,2.2176,170,28578,4,1,6,4,4,139,60,80,Strategy ,131,7.42123,,,,"Events
Grid Coverage
Hidden Victory Points
Map Addition
Network and Route Building
Open Drafting
",$129.99 
Calico ,https://boardgamegeek.com/boardgame/283155/calico,222,2020,16888,7.56169,7.29128,1.2216,2.1766,453,83081,12,1,4,2,2,276,30,45,Abstract ,9,7.34125,Family ,37,7.34513,"Enclosure
End Game Bonuses
Grid Coverage
Hexagon Grid
Open Drafting
Pattern Building
",Unknown
Nidavellir ,https://boardgamegeek.com/boardgame/293014/nidavellir,223,2020,12345,7.60987,7.29101,1.14103,2.1019,265,54432,8,2,5,3,3,254,45,45,Strategy ,155,7.35258,,,,"Auction: Multiple Lot
Constrained Bidding
Open Drafting
Selection Order Bid
Set Collection
Simultaneous Action Selection
",$39.99 
Paths of Glory ,https://boardgamegeek.com/boardgame/91/paths-glory,224,1999,5107,8.05423,7.2896,1.65392,3.8529,673,8660,4,2,2,2,2,99,480,480,War ,3,7.90106,,,,"Campaign / Battle Card Driven
Dice Rolling
Point to Point Movement
",$54.99 
Darwin's Journey ,https://boardgamegeek.com/boardgame/322289/darwins-journey,225,2023,4203,8.20962,7.28626,1.27561,3.8502,307,13142,0,1,4,3,3,168,60,120,Strategy ,115,7.46642,,,,"Contracts
Ownership
Point to Point Movement
Set Collection
Turn Order: Stat-Based
Variable Set-up
",Unknown
Wonderland's War ,https://boardgamegeek.com/boardgame/227935/wonderlands-war,226,2022,4827,8.13713,7.28559,1.4023,3,152,11175,3,2,5,4,4,140,45,125,Strategy ,134,7.41329,,,,"Area Majority / Influence
Deck, Bag, and Pool Building
Dice Rolling
Open Drafting
Push Your Luck
Rondel
",Unknown
YINSH ,https://boardgamegeek.com/boardgame/7854/yinsh,227,2003,8765,7.70877,7.2841,1.31858,2.6583,600,33212,8,2,2,2,2,76,30,60,Abstract ,3,7.57584,,,,"Catch the Leader
Grid Movement
Pattern Building
",$35.01 
My City ,https://boardgamegeek.com/boardgame/295486/my-city,228,2020,9652,7.67653,7.28273,1.22415,1.9899,199,145374,14,2,4,4,4,162,30,30,Strategy ,154,7.35402,Family ,34,7.3844,"Bingo
Catch the Leader
Enclosure
Grid Coverage
Legacy Game
Scenario / Mission / Campaign Game
",$32.99 
Ticket to Ride ,https://boardgamegeek.com/boardgame/9209/ticket-ride,229,2004,86540,7.39557,7.28045,1.29983,1.833,4929,345979,26,2,5,4,4,1052,30,60,Family ,51,7.28026,,,,"Connections
Contracts
End Game Bonuses
Hand Management
Network and Route Building
Open Drafting
",$43.97 
Cyclades ,https://boardgamegeek.com/boardgame/54998/cyclades,230,2009,21033,7.51144,7.2781,1.32864,2.8163,1018,36981,9,3,5,4,5,458,60,90,Strategy ,180,7.29672,,,,"Area Majority / Influence
Area Movement
Auction: Fixed Placement
Auction/Bidding
Dice Rolling
Open Drafting
",$69.99 
Codenames: Duet ,https://boardgamegeek.com/boardgame/224037/codenames-duet,231,2017,21766,7.45467,7.27233,1.23778,1.3645,406,156506,11,2,2,2,2,276,15,30,Family ,42,7.32148,,,,"Communication Limits
Cooperative Game
Push Your Luck
",$24.95 
La Granja ,https://boardgamegeek.com/boardgame/146886/la-granja,232,2014,10804,7.61129,7.27175,1.25188,3.565,531,36766,9,1,4,3,3,194,90,120,Strategy ,157,7.34985,,,,"Area Majority / Influence
Automatic Resource Growth
Contracts
Dice Rolling
Hand Management
Hidden Victory Points
",Unknown
Aeon's End: Legacy ,https://boardgamegeek.com/boardgame/241451/aeons-end-legacy,233,2019,4782,8.06867,7.27071,1.43443,2.8571,77,27050,3,1,4,2,2,91,45,90,Thematic,30,7.56513,Strategy ,133,7.4158,"Cooperative Game
Deck, Bag, and Pool Building
Hand Management
Legacy Game
Open Drafting
Solo / Solitaire Game
",$99.88 
Hegemony: Lead Your Class to Victory ,https://boardgamegeek.com/boardgame/321608/hegemony-lead-your-class-victory,234,2023,3187,8.51911,7.26845,1.33278,4.1101,318,6681,1,2,4,4,4,169,90,180,Strategy ,106,7.4949,,,,"Action/Event
Hand Management
Simulation
Variable Player Powers
Voting
",$324.99 
Secret Hitler ,https://boardgamegeek.com/boardgame/188834/secret-hitler,235,2016,26880,7.51162,7.26785,1.60535,1.743,502,113953,1,6,10,8,8,379,45,45,Party ,16,7.21559,,,,"Hidden Roles
Player Elimination
Team-Based Game
Traitor Game
Voting
",$40.00 
The Taverns of Tiefenthal ,https://boardgamegeek.com/boardgame/269207/taverns-tiefenthal,236,2019,13068,7.57633,7.26176,1.14446,2.6698,318,51644,14,2,4,2,3,225,60,60,Strategy ,174,7.30142,Family ,40,7.32752,"Deck, Bag, and Pool Building
Dice Rolling
Open Drafting
Worker Placement
Worker Placement with Dice Workers
",$61.37 
Legendary: A Marvel Deck Building Game ,https://boardgamegeek.com/boardgame/129437/legendary-marvel-deck-building-game,237,2012,22256,7.53527,7.26154,1.49768,2.4328,848,177721,2,1,4,3,3,461,30,60,Thematic,70,7.27196,,,,"Deck, Bag, and Pool Building
Events
Semi-Cooperative Game
Solo / Solitaire Game
Variable Set-up
",$59.98 
Century: Golem Edition ,https://boardgamegeek.com/boardgame/232832/century-golem-edition,238,2017,11580,7.608,7.25914,1.20266,1.6849,238,51695,0,2,5,3,4,143,30,45,Strategy ,186,7.28339,Family ,41,7.3275,"Action Retrieval
Contracts
Deck, Bag, and Pool Building
Hand Management
Increase Value of Unchosen Resources
Open Drafting
",$39.99 
Deception: Murder in Hong Kong ,https://boardgamegeek.com/boardgame/156129/deception-murder-hong-kong,239,2014,21661,7.45853,7.25887,1.332,1.5838,394,101673,2,5,12,6,8,261,20,20,Party ,11,7.32459,,,,"Communication Limits
Deduction
Events
Finale Ending
Hidden Roles
Storytelling
",$31.89 
Hanamikoji ,https://boardgamegeek.com/boardgame/158600/hanamikoji,240,2013,17149,7.4969,7.25841,1.20316,1.6888,437,82780,2,2,2,2,2,152,15,15,Family ,46,7.3084,,,,"Area Majority / Influence
Force Commitment
Hand Management
I Cut, You Choose
Race
",Unknown
MicroMacro: Crime City ,https://boardgamegeek.com/boardgame/318977/micromacro-crime-city,241,2020,14300,7.53021,7.25624,1.2386,1.1086,304,79198,24,1,3,2,2,299,15,45,Family ,43,7.32137,,,,"Cooperative Game
Deduction
Scenario / Mission / Campaign Game
Solo / Solitaire Game
",$43.45 
Zombicide: Black Plague ,https://boardgamegeek.com/boardgame/176189/zombicide-black-plague,242,2015,15717,7.6235,7.25565,1.44911,2.4877,367,41232,2,1,6,3,3,221,60,180,Thematic,63,7.29056,,,,"Cooperative Game
Dice Rolling
Modular Board
Scenario / Mission / Campaign Game
Turn Order: Progressive
Variable Player Powers
",$87.99 
Roll Player ,https://boardgamegeek.com/boardgame/169426/roll-player,243,2016,19664,7.45974,7.25083,1.19711,2.4346,405,70642,1,1,4,3,3,261,60,90,Strategy ,193,7.27341,,,,"Dice Rolling
Open Drafting
Role Playing
Set Collection
Variable Player Powers
",$52.16 
The Princes of Florence ,https://boardgamegeek.com/boardgame/555/princes-florence,244,2000,15328,7.51143,7.24792,1.35458,3.2423,1593,29266,14,3,5,5,5,281,75,100,Strategy ,173,7.30405,,,,"Auction/Bidding
End Game Bonuses
Grid Coverage
Tile Placement
Victory Points as a Resource
",$65.00 
Kanban: Driver's Edition ,https://boardgamegeek.com/boardgame/109276/kanban-drivers-edition,245,2014,6732,7.79261,7.24731,1.44203,4.3633,545,16682,7,2,4,3,4,135,90,120,Strategy ,148,7.37167,,,,"Action Points
Commodity Speculation
Variable Phase Order
Worker Placement
",Unknown
Sushi Go Party! ,https://boardgamegeek.com/boardgame/192291/sushi-go-party,246,2016,32964,7.40362,7.24725,1.14867,1.3054,596,129722,8,2,8,4,5,292,20,20,Family ,53,7.26663,,,,"Closed Drafting
End Game Bonuses
Hand Management
Set Collection
Simultaneous Action Selection
Variable Set-up
",$19.98 
Flamme Rouge ,https://boardgamegeek.com/boardgame/199478/flamme-rouge,247,2016,17274,7.49912,7.24603,1.2799,1.6826,438,73932,12,2,4,4,4,322,30,45,Family ,50,7.28399,,,,"Catch the Leader
Hand Management
Modular Board
Programmed Movement
Race
Simulation
",$62.99 
Fantasy Realms ,https://boardgamegeek.com/boardgame/223040/fantasy-realms,248,2017,13924,7.52521,7.24458,1.23097,1.8006,321,166466,1,2,5,2,3,302,20,20,Family ,45,7.30856,,,,"End Game Bonuses
Hand Management
Open Drafting
Set Collection
",$24.83 
"Unmatched: Battle of Legends, Volume One ",https://boardgamegeek.com/boardgame/274637/unmatched-battle-legends-volume-one,249,2019,8111,7.76057,7.24315,1.31915,1.9276,152,40359,5,2,2,2,2,117,20,40,Strategy ,181,7.29624,,,,"Action Points
Card Play Conflict Resolution
Hand Management
Line of Sight
Point to Point Movement
Team-Based Game
",Unknown
Detective: A Modern Crime Board Game ,https://boardgamegeek.com/boardgame/223321/detective-modern-crime-board-game,250,2018,10208,7.68055,7.2394,1.6382,2.7559,213,21348,18,1,4,2,2,214,120,180,Thematic,56,7.34007,,,,"Cooperative Game
Narrative Choice / Paragraph
Scenario / Mission / Campaign Game
Solo / Solitaire Game
Storytelling
Variable Player Powers
",$27.43 
Goa: A New Expedition ,https://boardgamegeek.com/boardgame/9216/goa-new-expedition,251,2004,11422,7.56113,7.23878,1.28702,3.3717,1146,25441,7,2,4,4,4,292,90,90,Strategy ,170,7.31922,,,,"Auction: Once Around
Auction/Bidding
Hand Management
Push Your Luck
Tech Trees / Tech Tracks
",Unknown
Santorini ,https://boardgamegeek.com/boardgame/194655/santorini,252,2016,37382,7.37565,7.2382,1.32795,1.7266,717,236561,8,2,3,2,2,534,20,20,Abstract ,13,7.21707,,,,"Grid Movement
Map Reduction
Race
Square Grid
Team-Based Game
Three Dimensional Movement
",Unknown
KLASK ,https://boardgamegeek.com/boardgame/165722/klask,253,2014,9423,7.62787,7.2376,1.32465,1.0632,174,99287,8,2,2,2,2,74,10,10,Party ,6,7.38366,Family ,39,7.32899,"Real-Time
Score-and-Reset Game
",$59.99 
Isle of Skye: From Chieftain to King ,https://boardgamegeek.com/boardgame/176494/isle-skye-chieftain-king,254,2015,24753,7.39936,7.23711,1.15283,2.2542,712,86267,18,2,5,3,4,411,30,50,Strategy ,201,7.25684,Family ,52,7.27234,"Catch the Leader
Commodity Speculation
I Cut, You Choose
Set Collection
Tile Placement
Turn Order: Progressive
",$44.99 
Chronicles of Crime ,https://boardgamegeek.com/boardgame/239188/chronicles-crime,255,2018,21573,7.60965,7.23558,1.42582,2.0583,343,48247,17,1,3,2,2,340,60,90,Thematic,67,7.28368,,,,"Cooperative Game
Scenario / Mission / Campaign Game
Solo / Solitaire Game
Storytelling
",$36.83 
Glory to Rome ,https://boardgamegeek.com/boardgame/19857/glory-rome,256,2005,14068,7.48785,7.23254,1.40448,2.9282,919,61714,7,2,5,3,4,281,60,60,Strategy ,183,7.28651,,,,"End Game Bonuses
Follow
Hand Management
Multi-Use Cards
Set Collection
Sudden Death Ending
",Unknown
Pulsar 2849 ,https://boardgamegeek.com/boardgame/228341/pulsar-2849,257,2017,8486,7.6702,7.23099,1.19256,3.3453,278,20387,8,2,4,4,4,194,60,90,Strategy ,165,7.32933,,,,"Dice Rolling
Open Drafting
Point to Point Movement
Worker Placement with Dice Workers
",$54.00 
1830: Railways & Robber Barons ,https://boardgamegeek.com/boardgame/421/1830-railways-robber-barons,258,1986,5504,7.86585,7.2307,1.60541,4.16,575,15053,0,3,6,4,5,133,180,360,Strategy ,145,7.37675,,,,"Auction/Bidding
Hexagon Grid
Investment
Market
Network and Route Building
Ownership
",$80.07 
Hero Realms ,https://boardgamegeek.com/boardgame/198994/hero-realms,259,2016,17256,7.52735,7.23047,1.22986,1.8566,286,109164,6,2,4,2,2,202,20,20,Strategy ,210,7.22651,,,,"Deck, Bag, and Pool Building
Hand Management
Once-Per-Game Abilities
Take That
",$23.95 
Hallertau ,https://boardgamegeek.com/boardgame/300322/hallertau,260,2020,5224,7.91686,7.2295,1.18116,3.2992,244,20439,6,1,4,2,2,154,50,140,Strategy ,146,7.37513,,,,"Advantage Token
Automatic Resource Growth
Contracts
End Game Bonuses
Hand Management
Income
",$86.51 
Shogun ,https://boardgamegeek.com/boardgame/20551/shogun,261,2006,13843,7.51986,7.22738,1.33965,3.3637,1240,18794,10,3,5,4,5,261,90,120,Strategy ,190,7.27888,,,,"Action Queue
Area Majority / Influence
Area Movement
Auction/Bidding
Cube Tower
Simultaneous Action Selection
",Unknown
Clash of Cultures: Monumental Edition ,https://boardgamegeek.com/boardgame/299659/clash-cultures-monumental-edition,262,2021,3266,8.38887,7.22724,1.32496,3.65,160,7653,0,2,4,3,4,98,180,240,Strategy ,129,7.43016,,,,"Action Points
Dice Rolling
Grid Movement
Hand Management
Modular Board
Trading
",$99.95 
Samurai ,https://boardgamegeek.com/boardgame/3/samurai,263,1998,16089,7.46177,7.22582,1.195,2.4748,1487,48615,5,2,4,3,3,343,30,60,Strategy ,196,7.26933,,,,"Area Majority / Influence
Hand Management
Hexagon Grid
Once-Per-Game Abilities
Set Collection
Tile Placement
",Unknown
Camel Up (Second Edition) ,https://boardgamegeek.com/boardgame/260605/camel-second-edition,264,2018,11039,7.58518,7.22385,1.16848,1.4574,223,37262,3,3,8,5,6,143,30,45,Party ,8,7.36257,Family ,48,7.30076,"Betting and Bluffing
Dice Rolling
Roll / Spin and Move
Track Movement
",Unknown
Galaxy Trucker ,https://boardgamegeek.com/boardgame/31481/galaxy-trucker,265,2007,33570,7.35302,7.22348,1.45404,2.3305,1555,90434,11,2,4,4,4,451,60,60,Thematic,78,7.22842,,,,"Dice Rolling
Events
Real-Time
Relative Movement
Team-Based Game
Tile Placement
",Unknown
1960: The Making of the President ,https://boardgamegeek.com/boardgame/27708/1960-making-president,266,2007,9223,7.62101,7.21983,1.33417,3.2036,997,16679,5,2,2,2,2,242,90,120,Strategy ,178,7.29881,,,,"Action/Event
Area Majority / Influence
Campaign / Battle Card Driven
Hand Management
Simulation
",$89.00 
Vindication ,https://boardgamegeek.com/boardgame/224783/vindication,267,2018,6789,7.8031,7.21965,1.40989,3.0841,226,18393,4,2,5,4,4,126,45,150,Strategy ,169,7.32228,,,,"Area Majority / Influence
Dice Rolling
End Game Bonuses
Hexagon Grid
Map Addition
Modular Board
",$169.99 
Viticulture ,https://boardgamegeek.com/boardgame/128621/viticulture,268,2013,13266,7.50951,7.21913,1.43778,2.9306,447,36496,2,2,5,3,4,147,90,90,Strategy ,192,7.27355,,,,"Contracts
Hand Management
Income
Turn Order: Progressive
Worker Placement
",$48.62 
Endless Winter: Paleoamericans ,https://boardgamegeek.com/boardgame/305096/endless-winter-paleoamericans,269,2022,6824,7.79913,7.21644,1.3494,3.2792,351,18365,2,1,4,3,3,204,60,120,Strategy ,166,7.32428,,,,"Area Majority / Influence
Deck, Bag, and Pool Building
End Game Bonuses
Hand Management
Income
Modular Board
",$369.99 
T.I.M.E Stories ,https://boardgamegeek.com/boardgame/146508/time-stories,270,2015,27161,7.4047,7.21516,1.72859,2.5941,579,63427,21,2,4,4,4,368,90,90,Thematic,73,7.25011,,,,"Cooperative Game
Dice Rolling
Move Through Deck
Narrative Choice / Paragraph
Storytelling
Variable Player Powers
",$47.99 
Steam ,https://boardgamegeek.com/boardgame/27833/steam,271,2009,10121,7.56125,7.21513,1.35699,3.4568,694,20529,6,3,5,4,4,127,90,90,Strategy ,176,7.29962,,,,"Auction/Bidding
Loans
Network and Route Building
Ownership
Pick-up and Deliver
Tile Placement
",$29.99 
Western Legends ,https://boardgamegeek.com/boardgame/232405/western-legends,272,2018,10520,7.61114,7.21494,1.4064,2.8282,262,21281,5,3,5,4,4,225,60,90,Thematic,59,7.32281,,,,"Action Points
Area Movement
Betting and Bluffing
Card Play Conflict Resolution
Dice Rolling
End Game Bonuses
",Unknown
7 Wonders (Second Edition) ,https://boardgamegeek.com/boardgame/316377/7-wonders-second-edition,273,2020,6241,7.86846,7.21488,1.26764,2.2936,218,27849,0,3,7,4,5,124,30,30,Strategy ,195,7.26998,Family ,38,7.33399,"Closed Drafting
Hand Management
Neighbor Scope
Set Collection
Simultaneous Action Selection
Variable Player Powers
",$40.00 
Tapestry ,https://boardgamegeek.com/boardgame/286096/tapestry,274,2019,19161,7.44633,7.21439,1.61822,2.9257,713,96189,8,1,4,3,3,390,90,120,Strategy ,205,7.23646,,,,"Area Majority / Influence
Contracts
Dice Rolling
Events
Grid Coverage
Hand Management
",$70.97 
Blood on the Clocktower ,https://boardgamegeek.com/boardgame/240980/blood-clocktower,275,2022,4053,8.32956,7.21072,2.00045,2.9542,153,34576,5,6,16,8,12,127,30,120,Party ,2,7.59242,,,,"Betting and Bluffing
Deduction
Hidden Roles
Negotiation
Prisoner's Dilemma
Rock-Paper-Scissors
",Unknown
Lewis & Clark: The Expedition ,https://boardgamegeek.com/boardgame/140620/lewis-clark-expedition,276,2013,15266,7.45183,7.20813,1.29548,3.3333,744,39475,13,1,4,3,3,350,120,120,Strategy ,200,7.25892,,,,"Action Retrieval
Deck, Bag, and Pool Building
Delayed Purchase
Hand Management
Open Drafting
Race
",$40.62 
Great Western Trail: Argentina ,https://boardgamegeek.com/boardgame/364011/great-western-trail-argentina,277,2022,2734,8.48023,7.20433,1.17661,3.8839,112,8710,0,1,4,3,3,69,75,150,Strategy ,124,7.44446,,,,"Deck, Bag, and Pool Building
Hand Management
Ownership
Set Collection
Solo / Solitaire Game
Track Movement
",$55.99 
Bora Bora ,https://boardgamegeek.com/boardgame/127060/bora-bora,278,2013,10093,7.55667,7.20252,1.34195,3.732,638,25264,4,2,4,4,4,227,60,120,Strategy ,184,7.28503,,,,"Dice Rolling
Set Collection
Worker Placement
Worker Placement with Dice Workers
",Unknown
Kingdomino ,https://boardgamegeek.com/boardgame/204583/kingdomino,279,2016,45296,7.31542,7.19771,1.12489,1.2204,1012,352903,25,2,4,2,2,656,15,25,Family ,58,7.2123,,,,"Open Drafting
Tile Placement
Turn Order: Stat-Based
",$21.99 
Arcadia Quest ,https://boardgamegeek.com/boardgame/155068/arcadia-quest,280,2014,10304,7.61763,7.19367,1.50691,2.5331,347,27378,1,2,4,4,4,183,60,60,Thematic,60,7.29637,,,,"Action Retrieval
Dice Rolling
Grid Movement
Line of Sight
Modular Board
Scenario / Mission / Campaign Game
",$96.99 
Battle Line ,https://boardgamegeek.com/boardgame/760/battle-line,281,2000,17202,7.41331,7.19104,1.26524,1.8942,1210,97398,0,2,2,2,2,187,30,30,Strategy ,217,7.2195,,,,"Card Play Conflict Resolution
Hand Management
Melding and Splaying
",$19.93 
Rococo ,https://boardgamegeek.com/boardgame/144344/rococo,282,2013,8817,7.58229,7.18894,1.16324,3.0805,435,20035,5,2,5,3,3,166,60,120,Strategy ,187,7.28105,,,,"Action Retrieval
Area Majority / Influence
Deck, Bag, and Pool Building
Delayed Purchase
Hand Management
Open Drafting
",Unknown
Dixit: Odyssey ,https://boardgamegeek.com/boardgame/92828/dixit-odyssey,283,2011,20449,7.40609,7.1868,1.34697,1.1696,619,40953,7,4,12,6,6,209,30,30,Party ,14,7.2567,,,,"Storytelling
Targeted Clues
Voting
",$29.99 
Forgotten Waters ,https://boardgamegeek.com/boardgame/302723/forgotten-waters,284,2020,5588,7.84715,7.1864,1.39754,2.1101,109,12019,9,2,7,5,5,138,120,240,Thematic,45,7.42883,,,,"Dice Rolling
Events
Narrative Choice / Paragraph
Scenario / Mission / Campaign Game
Semi-Cooperative Game
Stat Check Resolution
",$45.49 
Anno 1800: The Board Game ,https://boardgamegeek.com/boardgame/311193/anno-1800,285,2020,6362,7.7473,7.1859,1.16713,3.1549,226,19978,4,2,4,3,3,139,120,120,Strategy ,175,7.30133,,,,"End Game Bonuses
Hand Management
Race
Tech Trees / Tech Tracks
Variable Set-up
",$38.42 
Anno 1800: The Board Game ,https://boardgamegeek.com/boardgame/311193/anno-1800-board-game,286,2020,6362,7.7473,7.1859,1.16713,3.1549,226,19978,4,2,4,3,3,139,120,120,Strategy ,175,7.30133,,,,"End Game Bonuses
Hand Management
Race
Tech Trees / Tech Tracks
Variable Set-up
",$38.42 
Seasons ,https://boardgamegeek.com/boardgame/108745/seasons,287,2012,24439,7.35679,7.18324,1.37735,2.7804,970,93662,10,2,3,2,2,525,60,60,Strategy ,226,7.19567,,,,"Closed Drafting
Dice Rolling
Hand Management
Open Drafting
Take That
Victory Points as a Resource
",$54.70 
Ethnos ,https://boardgamegeek.com/boardgame/206718/ethnos,288,2017,13046,7.46491,7.18217,1.21498,2.0385,260,42665,4,2,6,4,4,211,45,60,Strategy ,204,7.23776,,,,"Area Majority / Influence
Hand Management
Open Drafting
Push Your Luck
Set Collection
",Unknown
Cryptid ,https://boardgamegeek.com/boardgame/246784/cryptid,289,2018,13455,7.45931,7.18186,1.27844,2.2377,265,65582,8,3,5,4,4,200,30,50,Strategy ,214,7.22248,Family ,55,7.24352,"Deduction
Hexagon Grid
Modular Board
Pattern Recognition
",$28.04 
Hive ,https://boardgamegeek.com/boardgame/2655/hive,290,2000,35982,7.31935,7.18009,1.32933,2.3178,1797,194973,7,2,2,2,2,313,20,20,Abstract ,17,7.14366,,,,"Enclosure
Grid Movement
Hexagon Grid
Pattern Movement
Pieces as Map
Score-and-Reset Game
",$41.46 
Imperial ,https://boardgamegeek.com/boardgame/24181/imperial,291,2006,8710,7.59878,7.17744,1.51104,3.5645,976,16799,8,3,6,4,4,290,120,180,Strategy ,191,7.27664,,,,"Advantage Token
Area Majority / Influence
Area Movement
Investment
Ownership
Rondel
",Unknown
The Manhattan Project: Energy Empire ,https://boardgamegeek.com/boardgame/176734/manhattan-project-energy-empire,292,2016,5991,7.75049,7.17536,1.16203,3.0424,165,17885,3,1,5,4,4,113,60,120,Strategy ,177,7.29902,,,,"Dice Rolling
Die Icon Resolution
End Game Bonuses
Events
Variable Player Powers
Worker Placement
",$119.90 
Indonesia ,https://boardgamegeek.com/boardgame/19777/indonesia,293,2005,4566,7.88309,7.16954,1.52433,3.9864,441,10812,1,3,5,4,4,142,180,240,Strategy ,163,7.34055,,,,"Auction/Bidding
Pick-up and Deliver
Tech Trees / Tech Tracks
",Unknown
Marvel United ,https://boardgamegeek.com/boardgame/298047/marvel-united,294,2020,9325,7.60477,7.16899,1.37006,1.8205,234,67141,6,1,4,3,3,161,40,40,Family ,56,7.24052,,,,"Cooperative Game
Hand Management
Modular Board
Solo / Solitaire Game
Variable Player Powers
",$16.98 
Navegador ,https://boardgamegeek.com/boardgame/66589/navegador,295,2010,9092,7.53759,7.16602,1.18014,3.0854,574,20628,7,2,5,4,4,203,60,90,Strategy ,202,7.25603,,,,"Advantage Token
Area Movement
Market
Rondel
",$129.99 
Star Realms: Frontiers ,https://boardgamegeek.com/boardgame/230253/star-realms-frontiers,296,2018,4790,7.94586,7.16575,1.18216,1.8598,107,27802,1,1,4,2,2,85,20,45,Strategy ,197,7.26478,,,,"Cooperative Game
Deck, Bag, and Pool Building
Open Drafting
Player Elimination
Solo / Solitaire Game
Take That
",$39.95 
Power Grid Deluxe: Europe/North America ,https://boardgamegeek.com/boardgame/155873/power-grid-deluxe-europenorth-america,297,2014,4351,7.9528,7.16536,1.27756,3.1942,139,6782,0,2,6,4,5,53,120,120,Strategy ,168,7.32307,,,,"Auction: Turn Order Until Pass
Catch the Leader
Income
Market
Network and Route Building
Turn Order: Stat-Based
",$149.99 
Monikers ,https://boardgamegeek.com/boardgame/156546/monikers,298,2015,5685,7.7789,7.16523,1.46559,1.0833,72,18635,1,4,12,6,6,40,30,60,Party ,5,7.46409,,,,"Acting
Communication Limits
Open Drafting
Role Playing
Singing
Team-Based Game
",$24.99 
Cthulhu Wars ,https://boardgamegeek.com/boardgame/139976/cthulhu-wars,299,2015,5855,7.86261,7.16437,1.62395,3.1486,276,16129,5,3,4,4,4,151,90,120,Thematic,50,7.38745,Strategy ,199,7.26001,"Action Points
Area Majority / Influence
Area Movement
Dice Rolling
Variable Player Powers
",$171.51 
Dungeon Petz ,https://boardgamegeek.com/boardgame/97207/dungeon-petz,300,2011,14614,7.40942,7.16404,1.37334,3.6245,711,27665,6,2,4,4,4,222,90,90,Thematic,77,7.23123,Strategy ,221,7.20687,"Auction/Bidding
Hand Management
Selection Order Bid
Simultaneous Action Selection
Worker Placement
",$40.28 
