Title,ObjectID,Link,Rank,Year,Designers,UsersRated,AveRating,Baverage,StdDev,AveWeight,NumWeights,NumPlays,NumAwards,NumGeekLists,NumTrading,NumWanting,NumWish,NumOwned,NumComments,NumWantToPlay,NumFans,Views,PCountRecomm_min,PCountRecomm_max,PCountBest_min,PCountBest_max,PCount_votes,MinPlayTime,MaxPlayTime,Mechanics,Expansions,Categories,GameCategory_1,RankCategory_1,ScoreCategory_1,AmazonPrice,GameCategory_2,RankCategory_2,ScoreCategory_2,GameCategory_3,RankCategory_3,ScoreCategory_3
Sorry! Sliders ,37196,https://boardgamegeek.com/boardgame/37196/sorry-sliders,2887,2008,['Craig Van Ness'],3918,6.33402,6.02409,1.28798,1.0611,311,25775,4,2498,240,50,254,5928,1388,162,59,196280,2.0,4.0,4.0,4.0,52,30,30,['Flicking'],[],"['Action / Dexterity', ""Children's Game""]",Family,999.0,6.08915,26.95,,,,,,
What the Heck? ,175,https://boardgamegeek.com/boardgame/175/what-the-heck,2898,1988,['Alex Randolph'],2679,6.48072,6.0221,1.3372,1.1636,220,16461,2,861,138,56,243,4715,935,189,67,197537,3.0,5.0,5.0,5.0,50,20,20,"['Auction', 'Bids As Wagers', 'Simultaneous Action Selection']",[],"['Animals', 'Bluffing', 'Card Game']",Family,967.0,6.11002,,,,,,,
Roll For It! Deluxe Edition ,164812,https://boardgamegeek.com/boardgame/164812/roll-for-it-deluxe-edition,2921,2014,['Chris Leder'],2296,6.61553,6.01816,1.41333,1.0822,73,18750,0,250,44,56,394,5326,444,144,74,96738,2.0,8.0,4.0,4.0,28,20,40,"['Dice Rolling', 'Push Your Luck']",['Roll for It! Deluxe Edition: Owlbear'],['Dice'],Family,986.0,6.09696,35.99,,,,,,
Funemployed ,142296,https://boardgamegeek.com/boardgame/142296/funemployed,2929,2013,['Anthony Conta'],2121,6.63686,6.01694,1.63102,1.1538,52,3228,0,483,138,59,775,4633,503,478,88,296606,4.0,7.0,5.0,6.0,16,30,30,"['Acting', 'Open Drafting', 'Player Judge', 'Role Playing', 'Storytelling']",['Funemployed: Seasonal Help'],"['Card Game', 'Educational', 'Humor', 'Party Game', 'Word Game']",Party,194.0,6.24708,,,,,,,
Cardline: Animals ,130882,https://boardgamegeek.com/boardgame/130882/cardline-animals,2932,2012,['Frédéric Henry'],2227,6.5592,6.01668,1.20182,1.1235,81,15035,4,321,61,51,221,4075,432,98,31,101698,2.0,7.0,4.0,4.0,29,15,15,[],['Cardline: Animaux mini-extension'],"['Animals', 'Card Game', 'Educational']",Family,965.0,6.11312,,,,,,,
Concept Kids: Animals ,247314,https://boardgamegeek.com/boardgame/247314/concept-kids-animals,2891,2018,"['Gaëtan Beaujannot', 'Alain Rivollet']",1147,7.0623,6.02353,1.24889,1.1875,32,6531,5,168,29,43,352,2861,272,114,56,97286,2.0,7.0,4.0,4.0,16,20,20,"['Communication Limits', 'Cooperative Game']",['Concept Kids: Animals – Fantasy Animals Promo Cards'],"['Animals', 'Card Game', ""Children's Game"", 'Deduction']",Children's,17.0,6.81216,,,,,,,
MANTIS ,358690,https://boardgamegeek.com/boardgame/358690/mantis,2904,2022,"['Ken Gruhl', 'Jeremy Posner']",2157,6.6705,6.02143,1.4352,1.0444,45,26803,5,213,46,25,417,5878,344,250,105,131516,2.0,6.0,4.0,5.0,23,10,10,"['Hand Management', 'Push Your Luck', 'Set Collection', 'Take That']",['MANTIS: Power Token'],['Card Game'],Family,978.0,6.1022,15.99,,,,,,
Soviet Kitchen Unleashed ,260407,https://boardgamegeek.com/boardgame/260407/soviet-kitchen-unleashed,2925,2018,['Andreas Wilde'],1657,6.78258,6.01747,1.47055,1.2885,52,17036,0,106,49,29,249,3454,219,189,151,98664,1.0,6.0,4.0,4.0,31,25,25,"['Cooperative Game', 'Hand Management', 'Push Your Luck']",[],"['Card Game', 'Humor']",Party,192.0,6.252,,Family,957.0,6.117,,,
The Dwarf King ,85250,https://boardgamegeek.com/boardgame/85250/the-dwarf-king,2960,2011,['Bruno Faidutti'],2109,6.55954,6.01115,1.38645,1.4316,95,6302,0,492,115,58,378,4093,479,278,80,184578,3.0,5.0,4.0,5.0,30,40,40,['Trick-taking'],[],"['Bluffing', 'Card Game', 'Fantasy']",Family,979.0,6.10153,9.99,,,,,,
Coyote ,8172,https://boardgamegeek.com/boardgame/8172/coyote,2975,2003,['Spartaco Albertarelli'],1904,6.6267,6.00915,1.25779,1.1825,126,7445,6,286,39,41,220,2807,428,117,45,143538,4.0,6.0,5.0,6.0,37,20,30,['Player Elimination'],[],"['Bluffing', 'Card Game', 'Deduction', 'Party Game']",Party,175.0,6.30295,,,,,,,
MonsDRAWsity ,283212,https://boardgamegeek.com/boardgame/283212/monsdrawsity,2961,2020,['Eric Slauson'],1139,7.0864,6.01098,1.34524,1.0741,27,3976,5,200,38,50,530,2714,238,304,50,105648,4.0,8.0,6.0,6.0,14,5,30,"['Drawing', 'Memory', 'Voting']","['MonsDRAWsity: Back For More Refresh Pack', 'MonsDRAWsity: Best of the Bestiary', 'MonsDRAWsity: Bring Your Kid To Work Deck', 'MonsDRAWsity: Cute Creatures', 'MonsDRAWsity: Dice Tower 2021 Promo Pack', 'MonsDRAWsity: Game Boy Geek 2021 Promo Card']","['Card Game', 'Party Game']",Party,138.0,6.41379,24.95,,,,,,
Lost Legacy: Flying Garden ,158340,https://boardgamegeek.com/boardgame/158340/lost-legacy-flying-garden,2995,2013,"['Seiji Kanai', 'Hayato Kisaragi']",1695,6.67837,6.00592,1.2684,1.3231,65,5022,0,333,154,20,117,3776,378,105,32,76574,2.0,4.0,4.0,4.0,11,10,10,"['Hand Management', 'Memory', 'Player Elimination']",['Lost Legacy: The Qualities of an Adventurer'],"['Bluffing', 'Card Game', 'Deduction']",Thematic,614.0,6.19435,,Family,968.0,6.10971,,,
Go Nuts for Donuts ,184346,https://boardgamegeek.com/boardgame/184346/go-nuts-for-donuts,3004,2017,['Zachary Eagle'],3227,6.40885,6.00469,1.43457,1.1029,68,23405,3,573,110,44,426,6128,740,242,129,192576,3.0,6.0,4.0,5.0,54,20,20,"['Open Drafting', 'Set Collection']","['Go Nuts for Donuts: Apple Fritter', 'Go Nuts for Donuts: Bacon', 'Go Nuts for Donuts: Diet Free Deck', 'Go Nuts for Donuts: Expansion Pack', 'Go Nuts for Donuts: Zombie']","['Bluffing', 'Card Game', 'Deduction']",Family,1038.0,6.06845,,,,,,,
The Mind Extreme ,287607,https://boardgamegeek.com/boardgame/287607/the-mind-extreme,3014,2019,['Wolfgang Warsch'],1330,6.90427,6.0022,1.54197,1.3421,38,5740,0,194,48,22,241,3962,244,141,51,114521,2.0,4.0,4.0,4.0,18,20,20,"['Cooperative Game', 'Hand Management', 'Real-Time']",[],"['Card Game', 'Deduction', 'Number']",Family,962.0,6.11473,21.95,,,,,,
Unusual Suspects ,178570,https://boardgamegeek.com/boardgame/178570/unusual-suspects,3025,2015,['Paolo Mori'],2986,6.3948,5.99928,1.52246,1.0897,78,23741,1,558,130,66,605,4353,564,374,64,184380,2.0,8.0,4.0,6.0,38,20,20,"['Communication Limits', 'Cooperative Game', 'Team-Based Game', 'Voting']","['Unusual Suspects: Burn After Playing', 'Unusual Suspects: You Promo']","['Card Game', 'Deduction', 'Murder / Mystery', 'Party Game']",Party,210.0,6.19791,,,,,,,
Crash Octopus ,319579,https://boardgamegeek.com/boardgame/319579/crash-octopus,3029,2021,['Naotaka Shimamoto'],1192,6.94566,5.99879,1.3453,1.3704,27,4118,1,217,28,228,877,2450,292,512,112,114746,3.0,5.0,4.0,4.0,27,20,30,"['Dice Rolling', 'Flicking', 'Push Your Luck']",['Crash Octopus: Pink Pirates'],"['Action / Dexterity', 'Animals', 'Fantasy', 'Nautical', 'Party Game']",Party,164.0,6.32978,,,,,,,
Qwixx Deluxe ,208775,https://boardgamegeek.com/boardgame/208775/qwixx-deluxe,3033,2016,['Steffen Benndorf'],1027,7.09364,5.99802,1.20319,1.1579,19,10028,0,262,40,25,124,2606,203,64,22,60629,2.0,8.0,4.0,5.0,7,20,20,"['Dice Rolling', 'Paper-and-Pencil']",[],['Dice'],Family,911.0,6.14017,,,,,,,
Shadows: Amsterdam ,246297,https://boardgamegeek.com/boardgame/246297/shadows-amsterdam,3035,2018,['Mathieu Aubert'],2147,6.57248,5.99774,1.40388,1.2703,37,7126,4,639,190,45,530,4819,429,432,88,208682,4.0,6.0,6.0,6.0,36,20,20,"['Cooperative Game', 'Deduction', 'Modular Board', 'Point to Point Movement', 'Race', 'Real-Time', 'Team-Based Game', 'Variable Player Powers']","['Shadows: Amsterdam – Tournament Promo Tile #1', 'Shadows: Amsterdam – Tournament Promo Tile #2', 'Shadows: Amsterdam Promo tile']","['Animals', 'Deduction', 'Murder / Mystery', 'Party Game']",Party,203.0,6.21541,28.95,Family,1022.0,6.07964,,,
In Front of the Elevators ,278751,https://boardgamegeek.com/boardgame/278751/in-front-of-the-elevators,3008,2019,['Saashi'],1120,7.03852,6.00313,1.17493,1.4167,24,3118,0,154,28,84,435,2129,199,326,71,91714,2.0,4.0,4.0,4.0,26,20,40,"['Area Majority / Influence', 'Hand Management']",[],['Card Game'],Family,923.0,6.13362,,,,,,,
Vegetable Stock ,328211,https://boardgamegeek.com/boardgame/328211/vegetable-stock,3018,2019,['Zong-Ger(蔥哥)'],1421,6.81662,6.00116,1.26242,1.0645,31,8292,0,169,41,126,550,2555,306,335,67,90012,2.0,6.0,4.0,4.0,24,15,20,"['Commodity Speculation', 'Open Drafting']",[],"['Card Game', 'Economic', 'Farming']",Family,945.0,6.12297,,,,,,,
Cloud 9 ,632,https://boardgamegeek.com/boardgame/632/cloud-9,3056,1999,['Aaron Weissblum'],2315,6.48931,5.99504,1.23163,1.1527,262,9883,1,941,76,64,283,2279,843,123,42,169532,3.0,6.0,6.0,6.0,32,20,30,"['Betting and Bluffing', 'Dice Rolling', 'Hand Management', 'Push Your Luck', 'Track Movement']",[],"['Aviation / Flight', 'Bluffing', 'Card Game']",Family,1009.0,6.08486,,,,,,,
Spaceteam ,184491,https://boardgamegeek.com/boardgame/184491/spaceteam,3048,2015,"['Tim Hutchings', 'Mathew Sisson']",2126,6.58361,5.99624,1.48266,1.075,40,8270,0,437,149,74,727,5392,499,451,95,192459,4.0,6.0,6.0,6.0,22,5,5,"['Cooperative Game', 'Hand Management', 'Memory', 'Trading']","['Spaceteam: NSFS Expansion', 'Spaceteam: Triangulum Expansion']","['Card Game', 'Party Game', 'Real-time', 'Science Fiction', 'Space Exploration']",Party,233.0,6.15726,27.95,,,,,,
Slide Quest ,271785,https://boardgamegeek.com/boardgame/271785/slide-quest,3078,2019,"['Nicolas Bourgoin', 'Jean-François Rochas']",1906,6.60007,5.99099,1.24677,1.1429,35,6808,4,312,124,87,552,3784,332,368,72,127567,2.0,4.0,4.0,4.0,23,15,45,['Cooperative Game'],[],"['Action / Dexterity', 'Medieval', 'Real-time']",Party,190.0,6.25972,,,,,,,
Tiki Topple ,34373,https://boardgamegeek.com/boardgame/34373/tiki-topple,3075,2008,['Keith Meyers'],2456,6.47731,5.99119,1.2456,1.2892,166,8129,3,974,140,46,263,4063,649,150,65,161158,2.0,4.0,4.0,4.0,47,20,20,"['Hand Management', 'Pattern Recognition']",[],"['Abstract Strategy', 'Bluffing', 'Card Game']",Family,1034.0,6.07118,,,,,,,
Excape ,357,https://boardgamegeek.com/boardgame/357/excape,3085,1998,['Reiner Knizia'],2200,6.48317,5.99008,1.43671,1.1317,167,13452,0,732,35,285,697,2345,720,413,50,204413,3.0,6.0,5.0,5.0,60,30,30,"['Dice Rolling', 'Push Your Luck', 'Race']",[],['Dice'],Family,1014.0,6.08307,,,,,,,
Star Fluxx ,102104,https://boardgamegeek.com/boardgame/102104/star-fluxx,3100,2011,['Andrew Looney'],5869,6.29948,5.98705,1.66255,1.4205,195,17155,0,777,223,33,446,13661,980,201,259,143333,2.0,6.0,4.0,4.0,34,10,40,"['Hand Management', 'Set Collection']","['Fluxx Dice', 'Fluxx Promo Cards', 'Solo Fluxx']","['Card Game', 'Science Fiction']",Party,353.0,5.93617,,Family,1194.0,5.9796,,,
Odin ,406854,https://boardgamegeek.com/boardgame/406854/odin,2994,2024,"['Yohan Goh', 'Hope S. Hwang', 'Gary Kim']",1631,6.73913,6.00629,1.42999,1.2115,52,15110,3,153,17,46,444,2664,276,304,120,109049,2.0,6.0,4.0,4.0,49,15,15,['Ladder Climbing'],[],['Card Game'],Family,959.0,6.11665,12.99,,,,,,
HITSTER: Guilty Pleasures ,397736,https://boardgamegeek.com/boardgame/397736/hitster-guilty-pleasures,3010,2023,['Marcus Carleson'],763,7.48003,6.00289,1.31893,1.0714,14,6951,0,32,4,12,89,2548,87,49,22,43136,2.0,10.0,4.0,6.0,11,30,30,[],[],"['Card Game', 'Music', 'Party Game']",,,,,,,,,,
Crossing ,172971,https://boardgamegeek.com/boardgame/172971/crossing,3194,2013,['Yoshiteru Shinohara'],1608,6.68685,5.97033,1.39122,1.0513,39,10469,0,263,65,57,354,2692,370,231,55,118392,4.0,6.0,5.0,5.0,27,15,15,"['Real-Time', 'Set Collection', 'Simultaneous Action Selection']",[],"['Bluffing', 'Party Game']",Party,188.0,6.26586,,,,,,,
Word Slam ,203411,https://boardgamegeek.com/boardgame/203411/word-slam,3186,2016,"['Inka Brand', 'Markus Brand']",1135,6.90835,5.97107,1.43259,1.1,20,4456,7,455,67,51,390,1731,236,260,20,89382,4.0,10.0,6.0,6.0,15,45,45,['Team-Based Game'],"['Deutscher Spielepreis 2017 Goodie Box', 'Word Slam: DSP-Edition']","['Party Game', 'Word Game']",Party,146.0,6.37636,,,,,,,
Gift Trap ,23686,https://boardgamegeek.com/boardgame/23686/gift-trap,3190,2006,['Nick Kellet'],2686,6.40583,5.97078,1.50012,1.2405,237,6506,8,1037,147,49,322,3299,742,169,31,194735,4.0,8.0,5.0,6.0,41,60,60,"['Simultaneous Action Selection', 'Voting']",['GiftTRAP Geek Edition'],"['Humor', 'Party Game']",Party,234.0,6.15623,,,,,,,
Tiger & Dragon ,349992,https://boardgamegeek.com/boardgame/349992/tiger-and-dragon,3165,2021,['Hashimoto Atsushi (橋本淳志)'],1136,6.92068,5.97467,1.40314,1.32,25,6659,1,197,51,81,496,2195,215,378,97,111913,3.0,5.0,4.0,4.0,33,20,20,"['Hand Management', 'Team-Based Game']",[],[],Family,996.0,6.09102,,,,,,,
Joking Hazard ,193621,https://boardgamegeek.com/boardgame/193621/joking-hazard,3216,2016,['(Uncredited)'],6337,6.23668,5.96689,1.69088,1.0213,94,12004,1,722,339,40,542,16232,1247,305,166,267158,3.0,7.0,5.0,5.0,59,30,90,"['Hand Management', 'Player Judge', 'Simultaneous Action Selection']","['Joking Hazard: Blast From The Past', 'Joking Hazard: Dating Hazard', 'Joking Hazard: Deck Enhancement #1', 'Joking Hazard: Deck Enhancement #2', 'Joking Hazard: Deck Enhancement #3', 'Joking Hazard: Deck Enhancement #4']","['Card Game', 'Comic Book / Strip', 'Humor', 'Mature / Adult', 'Party Game']",Party,342.0,5.95509,24.95,,,,,,
9 Lives ,189190,https://boardgamegeek.com/boardgame/189190/9-lives,3192,2015,['新澤 大樹 (Taiki Shinzawa)'],896,7.0965,5.97052,1.15055,1.4,15,2632,0,231,70,61,257,2302,276,247,53,75495,3.0,4.0,4.0,4.0,15,20,30,"['Predictive Bid', 'Trick-taking']",[],"['Animals', 'Card Game']",Family,975.0,6.10524,24.0,,,,,,
Best Treehouse Ever ,171890,https://boardgamegeek.com/boardgame/171890/best-treehouse-ever,3229,2015,['Scott Almes'],1998,6.48885,5.9642,1.16561,1.371,62,8203,3,639,106,82,364,3443,555,217,134,148713,3.0,4.0,4.0,4.0,27,20,20,"['Closed Drafting', 'Open Drafting', 'Pattern Building', 'Simultaneous Action Selection', 'Tile Placement']",['Best Treehouse Ever: Kickstarter Promo Pack'],['Card Game'],Family,1060.0,6.05391,,,,,,,
Penguin Party ,56933,https://boardgamegeek.com/boardgame/56933/penguin-party,3197,2008,['Reiner Knizia'],1680,6.60013,5.96961,1.30995,1.1196,92,9552,3,311,29,68,318,2893,397,175,52,144496,2.0,6.0,4.0,4.0,43,15,15,['Hand Management'],[],"['Animals', 'Card Game', ""Children's Game""]",Family,1031.0,6.07154,12.99,,,,,,
Mord im Arosa ,80006,https://boardgamegeek.com/boardgame/80006/mord-im-arosa,3241,2010,['Alessandro Zucchini'],1828,6.53071,5.96245,1.25485,1.4466,103,6409,2,611,60,141,537,2097,469,355,44,121088,3.0,6.0,4.0,5.0,37,30,45,"['Cube Tower', 'Memory']",[],"['Action / Dexterity', 'Murder / Mystery', 'Party Game']",Family,1059.0,6.05497,,,,,,,
Exploding Kittens: NSFW Deck ,172242,https://boardgamegeek.com/boardgame/172242/exploding-kittens-nsfw-deck,3237,2015,"['Matthew Inman', 'Elan Lee', 'Shane Small']",10524,6.23304,5.96348,1.75885,1.0812,234,20789,0,959,579,28,437,30994,1674,220,316,254511,3.0,5.0,4.0,5.0,86,10,20,"['Hand Management', 'Player Elimination', 'Push Your Luck', 'Set Collection', 'Take That']","['Exploding Kittens: Barking Kittens', 'Exploding Kittens: Imploding Kittens', 'Exploding Kittens: Streaking Kittens', 'Hidden Compartment Pack: Expansion for Cards Against Humanity and Exploding Kittens', 'Zombie Kittens: Not the Full Game. Just the 22 Expansion Cards']","['Animals', 'Card Game', 'Comic Book / Strip', 'Humor', 'Mature / Adult']",Party,418.0,5.84948,23.54,,,,,,
Get Bit! ,30539,https://boardgamegeek.com/boardgame/30539/get-bit,3244,2007,['Dave Chalker'],6847,6.13727,5.9619,1.26905,1.119,294,20586,3,1491,287,137,927,11976,1611,432,176,352370,3.0,6.0,5.0,6.0,58,10,20,"['Hand Management', 'Player Elimination', 'Race', 'Relative Movement', 'Simultaneous Action Selection']","['Get Bit! Additional Player Expansion', 'Get Bit! Dolphin Die Expansion', 'Get Bit! Feeding Frenzy: The Sharkspansion', 'Get Bit! Sharkspansion', 'Get Bit! Squid Die Expansion']","['Animals', 'Bluffing', 'Party Game', 'Pirates']",Family,1168.0,5.99317,13.84,,,,,,
Wilmot's Warehouse ,424975,https://boardgamegeek.com/boardgame/424975/wilmots-warehouse,3115,2024,"['Ricky Haggett', 'Richard Hogg', 'David King (II)']",639,7.6632,5.98409,1.24783,1.1333,15,2200,0,97,9,149,893,1357,134,496,96,71844,2.0,6.0,4.0,4.0,14,30,30,"['Cooperative Game', 'Memory', 'Storytelling']",[],"['Memory', 'Video Game Theme']",,,,34.99,,,,,,
Cabanga! ,394889,https://boardgamegeek.com/boardgame/394889/cabanga,3210,2023,['Michael Modler'],1127,6.8996,5.96793,1.25929,1.1304,23,8975,1,220,22,80,347,2285,253,237,41,67005,4.0,6.0,4.0,6.0,19,20,20,[],[],['Card Game'],Family,1001.0,6.08849,,,,,,,
TTMC: Tu te mets combien? ,262341,https://boardgamegeek.com/boardgame/262341/ttmc-tu-te-mets-combien,3260,2016,['Vincent Burger'],990,7.08182,5.95947,1.40125,1.1429,21,4149,1,46,9,2,839,2163,93,53,27,34699,3.0,9.0,6.0,6.0,13,42,97,"['Race', 'Track Movement']","['TTMC Tu te mets combien: la Carte Goodie', 'TTMC: Le Complément Belge', 'TTMC: Le Complément Naturel', 'TTMC: Tu te mets combien? – Bonne Bouffe avec Marmiton']","['Humor', 'Party Game', 'Trivia']",Party,181.0,6.29021,,,,,,,
Linq ,11945,https://boardgamegeek.com/boardgame/11945/linq,3321,2004,"['Andrea Meyer', 'Erik Nielsen']",1095,6.85957,5.95067,1.52683,1.4267,75,3479,3,272,60,32,211,1946,232,142,20,94018,5.0,8.0,6.0,6.0,29,45,45,"['Hidden Roles', 'Pattern Recognition', 'Targeted Clues', 'Team-Based Game', 'Voting']",['Linqer'],"['Deduction', 'Party Game', 'Spies / Secret Agents', 'Word Game']",Party,158.0,6.33416,,,,,,,
Vive le Roi! ,7806,https://boardgamegeek.com/boardgame/7806/vive-le-roi,3315,2003,"['Stefano Luperto', 'Jean-Michel Maman']",2323,6.41861,5.95186,1.22017,1.2126,207,6116,2,741,105,39,274,2555,724,148,32,176698,3.0,6.0,5.0,5.0,37,30,30,"['Betting and Bluffing', 'Deduction', 'Negotiation', 'Secret Unit Deployment', 'Voting']",['King Me! The Toilet'],"['Bluffing', 'Humor', 'Renaissance']",Family,1087.0,6.03377,,,,,,,
Art Robbery ,341935,https://boardgamegeek.com/boardgame/341935/art-robbery,3314,2021,['Reiner Knizia'],1112,6.87681,5.9519,1.26984,1.1364,22,4687,0,183,40,51,360,1911,231,264,78,102491,3.0,5.0,4.0,4.0,25,20,20,"['Hand Management', 'Take That']",[],['Card Game'],Family,1036.0,6.0709,12.57,,,,,,
World Championship Russian Roulette ,179245,https://boardgamegeek.com/boardgame/179245/world-championship-russian-roulette,3330,2017,['Anthony Burch'],1182,6.88106,5.94838,1.47531,1.2857,28,3258,0,208,36,52,326,1960,234,188,161,110282,3.0,6.0,4.0,6.0,18,20,30,"['Betting and Bluffing', 'Push Your Luck']",[],"['Bluffing', 'Card Game', 'Humor']",Party,196.0,6.24623,,,,,,,
Time's Up! Party Edition ,230262,https://boardgamegeek.com/boardgame/230262/times-up-party-edition,3319,2004,['Peter Sarrett'],596,7.60028,5.95107,1.31401,1.1429,14,2482,0,37,9,4,125,1487,80,45,28,26166,6.0,12.0,6.0,6.0,5,45,90,"['Acting', 'Memory', 'Team-Based Game']",[],"['Humor', 'Party Game']",Party,135.0,6.42191,,,,,,,
Unstable Unicorns ,234190,https://boardgamegeek.com/boardgame/234190/unstable-unicorns,3337,2017,['Ramy Badie'],10369,6.23564,5.94737,1.72073,1.4815,189,26172,1,1015,400,35,942,29915,1825,579,552,655012,3.0,6.0,4.0,5.0,110,30,60,"['Hand Management', 'Set Collection', 'Take That']","['Unstable Unicorns:  Nightmares Expansion Pack', 'Unstable Unicorns: Adventures', 'Unstable Unicorns: Apocalypse Expansion Pack', 'Unstable Unicorns: Chimeracorn Promo Card', 'Unstable Unicorns: Christmas Special Expansion Pack', 'Unstable Unicorns: Cosplay Unicorn Promo Card']","['Card Game', 'Humor', 'Party Game']",Party,488.0,5.75349,16.4,,,,,,
L.A.M.A. Party Edition ,313473,https://boardgamegeek.com/boardgame/313473/lama-party-edition,3356,2020,['Reiner Knizia'],999,6.95202,5.94464,1.32876,1.0417,24,10101,0,127,16,62,249,2147,175,129,41,78864,3.0,6.0,5.0,5.0,14,20,20,"['Hand Management', 'Ladder Climbing', 'Matching']",[],['Card Game'],Family,1039.0,6.06775,,,,,,,
Tapple ,129556,https://boardgamegeek.com/boardgame/129556/tapple,3332,2012,['NPD Partnership Ltd. (NPD Toys)'],2145,6.4752,5.94816,1.25267,1.0263,38,9543,1,351,68,41,441,5462,409,204,73,234237,2.0,8.0,4.0,6.0,18,30,30,"['Matching', 'Memory', 'Player Elimination']",[],"['Card Game', 'Party Game', 'Real-time', 'Word Game']",Party,215.0,6.18726,,,,,,,
Walk the Plank! ,35505,https://boardgamegeek.com/boardgame/35505/walk-the-plank,3394,2013,"['Shane Steely', 'Jared Tinney']",1893,6.51997,5.94081,1.314,1.253,83,7647,1,588,118,31,239,3084,453,141,82,153240,3.0,5.0,4.0,5.0,15,20,20,"['Action Queue', 'Player Elimination', 'Programmed Movement', 'Simultaneous Action Selection', 'Take That', 'Turn Order: Progressive']","['Get Bit! Dolphin Die Expansion', 'Get Bit! Squid Die Expansion', 'Walk the Plank! Ghost Meeple Mini-Expansion']","['Card Game', 'Humor', 'Pirates']",Family,1096.0,6.03021,,,,,,,
Velonimo ,323262,https://boardgamegeek.com/boardgame/323262/velonimo,3358,2020,['Bruno Cathala'],1313,6.74437,5.94453,1.33634,1.2128,47,6365,1,231,82,39,260,3350,210,215,58,94203,2.0,5.0,4.0,4.0,29,30,40,"['Betting and Bluffing', 'Ladder Climbing']",['Velonimo: Legends'],"['Animals', 'Card Game', 'Number', 'Sports']",Family,1055.0,6.05631,9.99,,,,,,
Archer: Once You Go Blackmail... ,198522,https://boardgamegeek.com/boardgame/198522/archer-once-you-go-blackmail,3404,2016,['Seiji Kanai'],911,7.09832,5.93904,1.29919,1.2632,19,3928,0,140,44,36,166,2159,244,93,31,85792,2.0,4.0,4.0,4.0,13,20,30,"['Hand Management', 'Player Elimination']",[],"['Card Game', 'Deduction', 'Movies / TV / Radio theme', 'Spies / Secret Agents']",,,,,,,,,,
CrossTalk ,215371,https://boardgamegeek.com/boardgame/215371/crosstalk,3380,2017,"['Brett Sobol', 'Seth Van Orden']",1022,6.88319,5.94211,1.45865,1.2,20,3952,1,536,123,44,388,1904,281,298,35,93555,4.0,8.0,4.0,4.0,17,20,30,['Team-Based Game'],[],"['Deduction', 'Party Game', 'Word Game']",Party,161.0,6.3307,,,,,,,
Dungeon Raiders ,257164,https://boardgamegeek.com/boardgame/257164/dungeon-raiders,3376,2018,['Phil Walker-Harding'],958,7.10208,5.9424,1.21552,1.2963,27,3358,0,55,16,14,160,2062,122,103,66,77882,3.0,5.0,5.0,5.0,21,20,30,"['Hand Management', 'Simultaneous Action Selection', 'Take That', 'Variable Player Powers']",[],"['Adventure', 'Card Game', 'Exploration', 'Fantasy']",Party,211.0,6.19685,,,,,,,
Leo ,191538,https://boardgamegeek.com/boardgame/191538/leo,3407,2016,['Leo Colovini'],1373,6.67555,5.93859,1.18884,1.1471,34,6646,9,245,53,51,297,2404,348,158,32,117957,2.0,5.0,5.0,5.0,24,30,30,"['Cooperative Game', 'Hand Management', 'Memory']","['Deutscher Spielepreis Classic Goodie Box', 'Leo: The Brush', 'Leo: The Mirror', 'Leo: The Snake', 'Stadt Land Spielt Minierweiterungen 2016']","[""Children's Game"", 'Mythology']",Children's,41.0,6.52147,,,,,,,
Krazy Wordz ,231962,https://boardgamegeek.com/boardgame/231962/krazy-wordz,3417,2016,"['Dirk Baumann', 'Thomas Odenhoven', 'Matthias Schmitt']",779,7.21125,5.93758,1.33656,1.1905,21,2496,0,103,22,23,111,1570,119,88,17,33821,4.0,7.0,5.0,6.0,11,45,45,"['Simultaneous Action Selection', 'Spelling']",[],"['Party Game', 'Word Game']",Party,147.0,6.36913,,,,,,,
Rat-a-Tat Cat ,3837,https://boardgamegeek.com/boardgame/3837/rat-a-tat-cat,3425,1995,"['Monty Stambler', 'Ann Stambler']",4043,6.25781,5.93673,1.41812,1.1172,273,32335,1,1126,173,29,241,9244,1205,136,66,238404,2.0,6.0,4.0,4.0,48,10,10,"['Memory', 'Open Drafting', 'Push Your Luck', 'Take That']",['Beverbende: Superbever'],"['Animals', 'Card Game', ""Children's Game"", 'Memory']",Children's,153.0,5.99276,12.99,Family,1187.0,5.98383,,,
Bag of Chips ,344114,https://boardgamegeek.com/boardgame/344114/bag-of-chips,3445,2021,"['Mathieu Aubert', 'Théo Rivière']",1973,6.43994,5.93392,1.33156,1.1094,64,12913,1,223,33,24,257,3664,311,192,63,84455,2.0,5.0,4.0,5.0,39,15,20,"['Bids As Wagers', 'Hand Management', 'Push Your Luck', 'Score-and-Reset Game', 'Simultaneous Action Selection']",[],['Abstract Strategy'],Party,231.0,6.16078,13.5,Family,1119.0,6.01929,,,
Rush & Bash ,177965,https://boardgamegeek.com/boardgame/177965/rush-and-bash,3463,2015,['Erik Burigo'],1222,6.75586,5.93105,1.251,1.4583,48,3804,1,233,68,33,203,2364,233,124,71,118661,2.0,6.0,5.0,6.0,20,30,30,"['Hand Management', 'Modular Board', 'Race', 'Variable Player Powers']","['Rush & Bash: Monster Chase', 'Rush & Bash: Winter Is Now']","['Fantasy', 'Humor', 'Racing']",Family,1108.0,6.02395,,,,,,,
